SRC_ID	TGT_ID	SRC_LANG	TGT_LANG	SRC_SENT	TGT_SENT	PRED
1437	7896021	eng	mal	Congratulations!	അഭിനന്ദനങ്ങള്‍	അഭിനന്ദനങ്ങൾ!
1484	651485	eng	mal	Nobody understands me.	ആരും എന്നെ മനസ്സിലാക്കുന്നില്ല.	ആരും എന്നെ മനസ്സിലാക്കുന്നില്ല.
1511	7895999	eng	mal	To tell you the truth, I am scared of heights. "You are a coward!"	സത്യം പറഞ്ഞാല്‍ എനിക്ക് ഉയരം പേടിയാണ്. "നീ ഒരു പേടിത്തൊണ്ടനാണ്"	നിങ്ങളോട് സത്യം പറയാൻ, ഉയരങ്ങളെ ഞാൻ ഭയപ്പെടുന്നു. "നിങ്ങൾ ഒരു ഭീരുവാണ്!"
1646	2730713	eng	mal	My name is Jack.	എൻറെ പേര് ജാക്ക് എന്നാണ്.	എന്റെ പേര് ജാക്ക്.
1723	2193223	eng	mal	Merry Christmas!	ക്രിസ്തുമസ് ആശംസകള്‍.	ക്രിസ്മസ് ആശംസകൾ!
1726	789586	eng	mal	You should have listened to me.	നീ ഞാൻ പറഞ്ഞത് കേൾക്കണമായിരുന്നു.	നിങ്ങൾ ഞാൻ പറയുന്നത് ശ്രദ്ധിച്ചിരിക്കണം.
1762	789585	eng	mal	You don't know who I am.	ഞാൻ ആരാണെന്ന് നിനക്കറിയില്ല.	ഞാൻ ആരാണെന്ന് നിങ്ങൾക്കറിയില്ല.
2258	763860	eng	mal	There are things in this world which simply cannot be expressed in the form of words.	ഈ ലോകത്ത് വാക്കുകൾ കൊണ്ട് വിവരിക്കാൻ പറ്റാത്ത പലതും ഉണ്ട്.	വാക്കുകളുടെ രൂപത്തിൽ ലളിതമായി പ്രകടിപ്പിക്കാൻ കഴിയാത്ത കാര്യങ്ങൾ ഈ ലോകത്ത് ഉണ്ട്.
2303	2730726	eng	mal	Since Mario lied to me, I don't speak to him anymore.	മാരിയോ എന്നോട് കളവു പറഞ്ഞതിനാൽ, മേലിൽ അവനോടു ഞാൻ സംസാരിക്കുകയില്ല.	മരിയോ എന്നോട് കള്ളം പറഞ്ഞതിനാൽ, ഞാൻ അദ്ദേഹത്തോട് ഇനി സംസാരിക്കില്ല.
2435	759857	eng	mal	Florence is the most beautiful city in Italy.	ഫ്ലോറൻസ് ഇറ്റലിയിലെ ഏറ്റവും മനോഹരമായ നഗരമാണ്.	ഇറ്റലിയിലെ ഏറ്റവും മനോഹരമായ നഗരമാണ് ഫ്ലോറൻസ്.
16014	7908717	eng	mal	You should pay back your debts.	നീ നിന്‍റെ കടങ്ങള്‍ വീട്ടണം.	നിങ്ങളുടെ കടങ്ങൾ നിങ്ങൾ തിരികെ നൽകണം.
16378	652242	eng	mal	You should have come earlier.	നീ നേരത്തെ വരണമായിരുന്നു.	നിങ്ങൾ നേരത്തെ വരേണ്ടതായിരുന്നു.
16486	2073515	eng	mal	Where were you?	നീ എവിടെയായിരുന്നു	നിങ്ങൾ എവിടെയായിരുന്നു?
16546	781635	eng	mal	Have you finished it?	നീ അത് തീർത്തോ?	നിങ്ങൾ ഇത് പൂർത്തിയാക്കിയിട്ടുണ്ടോ?
16571	789098	eng	mal	You must return the book to him.	നീ ഈ പുസ്തകം അവന് തിരിച്ചു നൽകണം.	നിങ്ങൾ പുസ്തകം അദ്ദേഹത്തിന് തിരികെ നൽകണം.
16831	766348	eng	mal	Did you leave the window open?	നീ ജനാല തുറന്നിട്ടിരുന്നോ?	നിങ്ങൾ വിൻഡോ തുറന്നോ?
16918	7908719	eng	mal	Your father's supporters are not limited to his friends.	നിന്‍റെ അച്ഛനെ പിന്തുണയ്ക്കുന്നത് അദേഹത്തിന്‍റെ സുഹൃത്തുക്കള്‍ മാത്രമല്ല.	നിങ്ങളുടെ പിതാവിന്റെ അനുയായികൾ അവന്റെ സുഹൃത്തുക്കളെ പരിമിതപ്പെടുത്തുന്നില്ല.
17051	781048	eng	mal	I like the way you smile.	എനിക്ക് നീ ചിരിക്കുന്ന രീതി ഇഷ്ടമാണ്.	നിങ്ങൾ പുഞ്ചിരിക്കുന്ന രീതി എനിക്കിഷ്ടമാണ്.
17333	776021	eng	mal	There are several spelling errors in your essay.	നിന്റെ ഉപന്യാസത്തിൽ വളരെയധികം അക്ഷരതെറ്റുകളുണ്ട്.	നിങ്ങളുടെ ലേഖനത്തിൽ നിരവധി സ്പെല്ലിംഗ് പിശകുകൾ ഉണ്ട്.
17421	5494542	eng	mal	I believe you.	ഞാൻ നിന്നെ വിശ്വസിക്കുന്നു.	ഞാൻ നിന്നെ വിശ്വസിക്കുന്നു.
18031	666263	eng	mal	I didn't know that you were in this town.	നിങ്ങൾ ഈ പട്ടണത്തിലുണ്ടായിരുന്നുവെന്ന് എനിക്ക് അറിയില്ലായിരുന്നു.	നിങ്ങൾ ഈ പട്ടണത്തിലാണെന്ന് എനിക്കറിയില്ലായിരുന്നു.
18161	652455	eng	mal	Hunger drove him to steal.	വിശപ്പ് അവനെ മോഷ്ടിക്കാന്‍ പ്രേരിപ്പിച്ചു.	വിശപ്പ് അവനെ മോഷ്ടിക്കാൻ പ്രേരിപ്പിച്ചു.
18489	1776827	eng	mal	How long is the Golden Gate Bridge?	ഗോൾഡൻ ഗേറ്റ് ബ്രിഡ്ജിന്റെ നീളം എത്രയാണ്?	ഗോൾഡൻ ഗേറ്റ് ബ്രിഡ്ജ് എത്രനാൾ?
18582	765290	eng	mal	Money is a good servant, but a bad master.	ധനം ഒരു നല്ല ഭൃത്യനാണ്, പക്ഷേ ഒരു മോശം യജമാനനും.	പണം ഒരു നല്ല ദാസനാണ്, പക്ഷേ ഒരു മോശം യജമാനൻ.
19112	718091	eng	mal	Education is an investment in the future.	വിദ്യാഭ്യാസം ഭാവിയിലേക്കുള്ള ഒരു നിക്ഷേപമാണ്.	വിദ്യാഭ്യാസം ഭാവിയിൽ ഒരു നിക്ഷേപമാണ്.
19242	654488	eng	mal	I'm willing to do the job if you cooperate.	നിങ്ങള്‍ സഹകരിച്ചാല്‍ ഈ ജോലി ചെയ്യാന്‍ എനിക്ക് താല്പര്യമുണ്ട്.	നിങ്ങൾ സഹകരിക്കുകയാണെങ്കിൽ ജോലി ചെയ്യാൻ ഞാൻ തയ്യാറാണ്.
19347	652329	eng	mal	Fish cannot live out of water.	മത്സ്യങ്ങള്‍ക്ക് വെള്ളത്തിന് പുറത്ത് ജീവിക്കാന്‍ സാധിക്കില്ല.	മത്സ്യങ്ങൾക്ക് വെള്ളത്തിൽ നിന്ന് ജീവിക്കാൻ കഴിയില്ല.
19794	792906	eng	mal	How did you spend your vacation?	നീ എങ്ങനെ നിന്റെ അവധിക്കാലം ചെലവഴിച്ചു?	നിങ്ങളുടെ അവധിക്കാലം നിങ്ങൾ എങ്ങനെ ചെലവഴിച്ചു?
20664	2188428	eng	mal	I will gladly help you.	ഞാന്‍ സന്തോഷത്തോടെ നിങ്ങളെ സഹായിക്കാം.	ഞാൻ നിങ്ങളെ സന്തോഷത്തോടെ സഹായിക്കും.
21565	781633	eng	mal	The closing of school was due to the snow.	മഞ്ഞ് കാരണമാണ് സ്കൂൾ അടച്ചത്.	സ് കൂളിന്റെ സമാപനം മഞ്ഞ് കാരണമായിരുന്നു.
21678	5494545	eng	mal	Do you remember?	നിനക്ക് ഓർമ്മയുണ്ടോ.	നിങ്ങൾ ഓർക്കുന്നുണ്ടോ?
22004	780415	eng	mal	It is dark outside.	പുറത്ത് ഇരുട്ടാണ്.	പുറത്ത് ഇരുട്ടാണ്.
23202	1776826	eng	mal	We obeyed the rules.	ഞങ്ങൾ നിയമങ്ങൾ അനുസരിച്ചു.	ഞങ്ങൾ നിയമങ്ങൾ അനുസരിച്ചു.
23972	766446	eng	mal	Scientists can easily compute the distance between planets.	ശാസ്ത്രജ്ഞർക്ക് രണ്ട് ഗ്രഹങ്ങൾ തമ്മിലുള്ള ദൂരം എളുപ്പത്തിൽ കണക്കുകൂട്ടാൻ സാധിക്കും.	ശാസ്ത്രജ്ഞർക്ക് ഗ്രഹങ്ങൾ തമ്മിലുള്ള ദൂരം എളുപ്പത്തിൽ കണക്കാക്കാൻ കഴിയും.
24306	759874	eng	mal	The summer vacation ended all too soon.	വേനൽ അവധിക്കാലം വളരെ പെട്ടെന്ന് അവസാനിച്ചു.	വേനൽക്കാല അവധിക്കാലം എല്ലാം ഉടൻ അവസാനിച്ചു.
26285	652224	eng	mal	English is easy to learn.	ഇംഗ്ലീഷ് പഠിക്കാന്‍ എളുപ്പമാണ്.	ഇംഗ്ലീഷ് പഠിക്കാൻ എളുപ്പമാണ്.
26324	718092	eng	mal	Do you have an English dictionary?	നിങ്ങളുടെ കൈയ്യിൽ ഒരു ഇംഗ്ലീഷ് നിഘണ്ടുവുണ്ടോ?	നിങ്ങൾക്ക് ഒരു ഇംഗ്ലീഷ് നിഘണ്ടു ഉണ്ടോ?
27468	2188426	eng	mal	Don't attempt two things at a time.	രണ്ടു കാര്യങ്ങള്‍ ഒരേസമയം ചെയ്യാന്‍ ശ്രമിക്കരുത് .	ഒരു സമയത്ത് രണ്ട് കാര്യങ്ങൾ ശ്രമിക്കരുത്.
27590	652221	eng	mal	That might be the most painful experience in my life.	എന്റെ ജീവിതത്തിലെ ഏറ്റവും വേദനാജനകമായ അനുഭവം അതായിരിക്കും.	അത് എന്റെ ജീവിതത്തിലെ ഏറ്റവും വേദനാജനകമായ അനുഭവമായിരിക്കാം.
27718	716632	eng	mal	We plan to stay a week.	ഞങ്ങൾ ഒരാഴ്ച തങ്ങാനാണ് ആലോചിക്കുന്നത്.	ഒരാഴ്ച താമസിക്കാൻ ഞങ്ങൾ പദ്ധതിയിടുന്നു.
27937	656098	eng	mal	The doctor suggested that he give up smoking.	പുകവലി നിര്‍ത്താന്‍ ഡോക്ടര്‍ അവനെ നിര്‍ദ്ദേശിച്ചു.	പുകവലി ഉപേക്ഷിക്കണമെന്ന് ഡോക്ടര് നിര് ദേശിച്ചു.
28129	7896022	eng	mal	Wrong.	തെറ്റ്.	തെറ്റാണ്.
28963	789567	eng	mal	I couldn't recognize him at first.	എനിക്ക് ആദ്യം അവനെ തിരിച്ചറിയാൻ കഴിഞ്ഞില്ല.	എനിക്ക് അദ്ദേഹത്തെ ആദ്യം തിരിച്ചറിയാൻ കഴിഞ്ഞില്ല.
29197	789013	eng	mal	I am beginning to understand.	ഞാൻ മനസ്സിലാക്കാൻ തുടങ്ങുന്നു.	ഞാൻ മനസ്സിലാക്കാൻ തുടങ്ങി.
29267	2188445	eng	mal	London was bombed several times.	ലണ്ടന്‍ പല തവണ ബോംബ്‌ ചെയ്യപ്പെട്ടു.	ലണ്ടനെ പലതവണ ബോംബ് ചെയ്തു.
29368	770383	eng	mal	Russia is facing great financial difficulties.	റഷ്യ വളരെ വലിയ സാമ്പത്തിക പ്രതിസന്ധി നേരിടുകയാണ്.	വലിയ സാമ്പത്തിക ബുദ്ധിമുട്ടുകളാണ് റഷ്യ നേരിടുന്നത്.
29867	772216	eng	mal	If you like, I will teach you to play chess.	നിനക്കിഷ്ടമാണെങ്കിൽ, ഞാൻ നിന്നെ ചെസ്സ് കളിക്കാൻ പഠിപ്പിക്കാം.	നിങ്ങൾക്ക് താൽപ്പര്യമുണ്ടെങ്കിൽ, ചെസ്സ് കളിക്കാൻ ഞാൻ നിങ്ങളെ പഠിപ്പിക്കും.
29912	654759	eng	mal	I can't sleep well.	എനിക്ക് നന്നായി ഉറങ്ങാന്‍ പറ്റുന്നില്ല.	എനിക്ക് നന്നായി ഉറങ്ങാൻ കഴിയില്ല.
30117	779136	eng	mal	Walk slowly.	പതുക്കെ നടക്കുക.	പതുക്കെ നടക്കുക.
30397	7896024	eng	mal	Louder.	ഉറക്കെ.	ഉച്ചത്തിൽ.
30542	7896025	eng	mal	Definitely!	തീര്‍ച്ചയായും.	തീർച്ചയായും!
30542	7896026	eng	mal	Definitely!	ഉറപ്പായും.	തീർച്ചയായും!
30588	789096	eng	mal	The game will be called off if it rains tomorrow.	നാളെ മഴ പെയ്യുകയാണെങ്കിൽ മത്സരം ഉപേക്ഷിക്കും.	നാളെ മഴ വന്നാല് കളി അവസാനിപ്പിക്കും.
31256	780467	eng	mal	If you had left home a little earlier you would have been in time.	നീ വീട്ടിൽ നിന്ന് കുറച്ച് നേരത്തെ പുറപ്പെട്ടിരുന്നുവെങ്കിൽ നിനക്ക് സമയത്ത് എത്താമായിരുന്നു.	കുറച്ച് മുമ്പ് നിങ്ങൾ വീട്ടിൽ നിന്ന് പോയിരുന്നെങ്കിൽ നിങ്ങൾ കൃത്യസമയത്ത് ആയിരിക്കുമായിരുന്നു.
