SRC_ID	TGT_ID	SRC_LANG	TGT_LANG	SRC_SENT	TGT_SENT	PRED
2931728	6150127	eng	mar	She'll like this game.	त्यांना हा खेळ आवडेल.	तिला हा खेळ आवडेल.
60937	2087613	eng	mar	Try on this sweater.	हे स्वेटर घालून बघ.	या स्वेटरवर प्रयत्न करा.
415153	2623918	eng	mar	Men should keep out of the kitchen.	माणसांनी स्वयंपाकघरातून बाहेरच राहिलं पाहिजे.	पुरुषांनी स्वयंपाकघरात बाहेर ठेवले पाहिजे.
8414649	8668795	eng	mar	His parents were really religious.	त्यांचे आईवडील अतिशय धार्मिक होते.	त्याचे पालक खरोखर धार्मिक होते.
3312720	4543637	eng	mar	We all had a great time.	आपण सर्वांनी खूप मजा केली.	आमच्या सर्वांना एक चांगला वेळ मिळाला.
3049173	5235912	eng	mar	He gave me several books.	त्यांनी मला अनेक पुस्तकं दिली.	त्याने मला अनेक पुस्तके दिली.
6424851	6441291	eng	mar	Mary is making herself a sandwich.	मेरी स्वतःसाठी सँडविच बनवते आहे.	मेरी स्वत: ला सँडविच बनवित आहे.
5969762	6953917	eng	mar	Finland's national epic is the Kalevala.	कालेवाला हे फिनलँडचं राष्ट्रीय महाकाव्य आहे.	फिनलंडचे राष्ट्रीय महाकाव्य म्हणजे कालवला.
2249247	7335144	eng	mar	It's so dark.	किती काळोख आहे.	हे खूप गडद आहे.
2870473	7891240	eng	mar	She knows her.	ती तिला ओळखते.	तिला माहित आहे.
7306891	7838675	eng	mar	Sami believes in God.	सामीचा देवावर विश्वास आहे.	सामी देवावर विश्वास ठेवतात.
5322713	6552302	eng	mar	Why are planets round?	ग्रह गोलाकार का असतात?	ग्रह फेरी का आहेत?
4972796	4973333	eng	mar	Tom used to be scared of dogs.	टॉम कुत्र्यांना घाबरायचा.	टॉम कुत्र्यांना घाबरत असे.
2270181	2385702	eng	mar	Where does that road lead?	तो रस्ता कुठे जातो?	तो रस्ता कोठे आघाडीवर आहे?
3937490	5686709	eng	mar	Georgia is his native country.	जॉर्जिया त्याची जन्मभूमी आहे.	जॉर्जिया त्याचा मूळ देश आहे.
5788671	6767202	eng	mar	Put down those chopsticks and propose to her.	चॉपस्टिक्स खाली ठेवा आणि त्यांना प्रपोज करा.	त्या चॉपस्टिक खाली ठेवा आणि तिला प्रस्तावित करा.
16456	7934164	eng	mar	Why do you want to study abroad?	तुला विदेशात अभ्यास का करायचा आहे?	आपण परदेशात अभ्यास का करू इच्छिता?
1609680	3061197	eng	mar	Don't try to walk before you can crawl.	रांगता येण्याआधी चालायचा प्रयत्न करू नये.	आपण रेंगाळण्यापूर्वी चालण्याचा प्रयत्न करू नका.
7251070	7366376	eng	mar	I'm giving him my phone number.	मी त्याला माझा फोन क्रमांक देतो.	मी त्याला माझा फोन नंबर देत आहे.
6659005	8544937	eng	mar	I didn't think Mary would be so beautiful.	मेरी इतकी सुंदर असेल असा मी विचार केला नव्हता.	मला वाटत नाही की मेरी खूप सुंदर असेल.
259451	2653401	eng	mar	I think of her day and night.	मी दिवसरात्र तिचा विचार करतो.	मी तिच्या दिवसाचा आणि रात्रीचा विचार करतो.
1742421	4047527	eng	mar	There is a lot of work at this time.	या वेळी भरपूर काम असतं.	यावेळी बरेच काम आहे.
325144	2424178	eng	mar	I am taking French next year.	मी पुढच्या वर्षी फ्रेंच विषय घेणार आहे.	मी पुढच्या वर्षी फ्रेंच घेत आहे.
3312429	4616596	eng	mar	We have three hours.	आमच्याकडे तीन तास आहेत.	आमच्याकडे तीन तास आहेत.
2236997	5353576	eng	mar	Tom isn't nuts.	टॉम वेडा नाहीये.	टॉम काजू नाही.
307951	7923040	eng	mar	He himself said so.	तोच स्वतः तसं म्हणाला.	तो स्वत: म्हणाला.
2239576	2660790	eng	mar	I spoke to him yesterday.	मी त्याच्याशी काल बोललो.	मी काल त्याच्याशी बोललो.
4283842	4384001	eng	mar	Do you like German beers?	तुला जर्मन बियर आवडतात का?	तुला जर्मन मधमाश्या आवडतात का?
2206488	2663785	eng	mar	I want to talk to you outside.	मला तुझ्याशी बाहेर बोलायचंय.	मला तुमच्याशी बाहेर बोलायचे आहे.
1646252	2513416	eng	mar	Are you an Arab?	तुम्ही अरबी आहात का?	तू अरब आहेस का?
8789817	9125083	eng	mar	Penguins aren't fish; they're birds.	पेंग्विन मासे नसतात; ते पक्षी असतात.	पेंग्विन मासे नाहीत; ते पक्षी आहेत.
434874	3277923	eng	mar	He doesn't like oranges.	त्याला संत्री आवडत नाहीत.	त्याला संत्रा आवडत नाहीत.
3181186	6151111	eng	mar	I like talking to you.	मला तुझ्याशी बोलायला आवडतं.	मला तुझ्याशी बोलणे आवडते.
3918453	6984754	eng	mar	Go and find her.	जा आणि तिला शोधून काढा.	जा आणि तिला शोधा.
2955073	8320127	eng	mar	You're twisting my words.	तुम्ही माझ्या शब्दांचा चुकीचा अर्थ काढत आहात.	तू माझे शब्द फिरवत आहेस.
69651	5234957	eng	mar	Do you like Japanese or English?	तुम्हाला जपानी आवडते का इंग्रजी?	तुम्हाला जपानी किंवा इंग्रजी आवडतात का?
294025	2461541	eng	mar	He teaches English.	ते इंग्लिश शिकवतात.	तो इंग्रजी शिकवतो.
316054	2562186	eng	mar	She must be from the South.	ती दक्षिणेपासून आली असेल.	ती दक्षिणेकडून असलीच पाहिजे.
1655579	4512153	eng	mar	I speak English.	मी इंग्रजी बोलते.	मी इंग्रजी बोलतो.
3334003	7876330	eng	mar	Did I break it?	मी बिघडवलं का?	मी तो मोडला?
3142820	5056066	eng	mar	It was Tom who asked the question.	प्रश्न टॉमने विचारला होता.	हा प्रश्न विचारणारा टॉम होता.
4667178	7941571	eng	mar	How can we do this?	आम्ही हे कसं करू शकतो?	आपण हे कसे करू शकतो?
1886569	2578360	eng	mar	Who told you to give that to me?	ते मला द्यायला तुला कोणी सांगितलं?	तुला ते देण्यास कोणी सांगितले?
6221192	6760439	eng	mar	Tom gave a sandwich to Mary.	टॉमने मेरीला एक सँडविच दिलं.	टॉमने मेरीला सँडविच दिले.
1414998	3272563	eng	mar	When he was 15, he ran away from home.	१५ वर्षांचा असताना तो घरातून पळून गेला.	जेव्हा तो 15 वर्षांचा होता तेव्हा तो घरातून पळून गेला.
58879	2692572	eng	mar	This bicycle belongs to my brother.	ही सायकल माझ्या भावाची आहे.	ही सायकल माझ्या भावाला आहे.
6160477	6329296	eng	mar	What are you asking God?	तू देवाला काय विचारत आहेस?	आपण देव काय विचारत आहात?
2045752	2558202	eng	mar	Mary is beautiful.	मेरी सुंदर आहे.	मेरी सुंदर आहे.
278559	8300691	eng	mar	My brother is living in San Diego.	माझा दादा सॅन डिएगोमध्ये राहतोय.	माझा भाऊ सॅन डिएगोमध्ये राहत आहे.
254216	2685171	eng	mar	It cost me 3,000 yen to buy the record.	हा रेकॉर्ड विकत घ्यायला मला ३००० येन खर्च करायला लागले.	रेकॉर्ड खरेदी करण्यासाठी मला 3 हजार येन खर्च केला.
2859103	3012751	eng	mar	They told Mary.	त्यांनी मेरीला सांगितलं.	त्यांनी मेरीला सांगितले.
65767	2338179	eng	mar	He was the ruler of the Inca Empire.	ते इंका साम्राज्याचे राज्यकर्ते होते.	तो इन्का साम्राज्याचा नियम होता.
6249213	7947655	eng	mar	Whatever happens, I want to do that.	काहीही झालं तरी मला ते करायचंच आहे.	काहीही घडते, मला ते करायचे आहे.
2847507	5071591	eng	mar	Mary likes helping others.	मेरीला दुसर्‍यांची मदत करायला आवडते.	मेरी इतरांना मदत करणे आवडते.
1570781	7647212	eng	mar	The students didn't listen to her story.	विद्यार्थिनींनी त्यांची गोष्ट ऐकली नाही.	विद्यार्थ्यांनी आपली कथा ऐकली नाही.
273176	5232316	eng	mar	There is a village between the river and the hill.	नदी आणि टेकडीच्या मध्ये एक गाव आहे.	नदी आणि डोंगर दरम्यान एक गाव आहे.
238467	2699670	eng	mar	The play began exactly on time.	नाटक अगदी वेळेवर सुरू झालं.	नाटक नक्कीच वेळेवर सुरू झाले.
258051	2678329	eng	mar	I see with my eyes.	मी माझ्या डोळ्यांनी बघतो.	मी माझ्या डोळ्यांनी पाहतो.
4865068	7975014	eng	mar	Do not drink so much!	इतकं पिऊ नका!	इतके प्या!
463308	2087558	eng	mar	This is my brother.	ते माझे भाऊ आहेत.	हा माझा भाऊ आहे.
3919247	6872541	eng	mar	I'll bring them.	मी त्यांना आणेन.	मी त्यांना घेऊन येईन.
6028705	6760437	eng	mar	How many sandwiches were left?	किती सँडविच उरले होते?	किती सँडविच शिल्लक होते?
8048817	8684075	eng	mar	She took off her training bra.	तिने आपला ट्रेनिंग ब्रा काढला.	तिने तिचा प्रशिक्षण ब्रा काढून घेतला.
4217002	4217567	eng	mar	My family lives here.	माझं कुटुंब इथे राहतं.	माझे कुटुंब येथे राहते.
2254722	2526978	eng	mar	Who gets it?	ते कोणाला मिळतं?	ते कोणाला मिळते?
770075	8681992	eng	mar	I can't tell the difference between them.	मला त्यांच्यातला फरक कळत नाही.	मी त्यांच्यातील फरक सांगू शकत नाही.
251869	2095345	eng	mar	I am taller.	मी जास्त उंच आहे.	मी उंच आहे.
1213423	3034355	eng	mar	Tears fell from his eyes.	त्याच्या डोळ्यांतून अश्रू पडले.	त्याच्या डोळ्यांनी कान पडले.
2210777	3220822	eng	mar	Why don't you just call Tom?	तू टॉमलाच फोन का नाही करत?	आपण फक्त टॉमला का बोलवत नाही?
515085	3293751	eng	mar	What is love?	प्रेम म्हणजे काय?	प्रेम काय आहे?
8396456	8684214	eng	mar	Lisbon is Portugal's capital.	लिस्बन ही पोर्तुगालची राजधानी आहे.	लिस्बन पोर्तुगालची राजधानी आहे.
8212955	8681972	eng	mar	Are there wolves in Australia?	ऑस्ट्रेलियात लांडगे असतात का?	ऑस्ट्रेलियात लांडगे आहेत का?
7981516	8371549	eng	mar	Sami's story is really weird.	सामीची गोष्ट एकदम विचित्र आहे.	सामीची कहाणी खरोखर विचित्र आहे.
2544739	6294227	eng	mar	I'm just pulling your leg.	मी फक्त तुला शेंडी लावतोय.	मी फक्त आपला पाय खेचत आहे.
2648233	4469790	eng	mar	What was Tom told?	टॉमला काय सांगितलं गेलं होतं?	टॉमला काय सांगितले गेले?
37688	2087605	eng	mar	Tony can run fast.	टोनी वेगाने धावू शकतो.	टोनी वेगाने धावू शकतो.
3123307	7308837	eng	mar	Do you like me?	तुला मी आवडतो का?	तुला माझ्या आवडतात का?
21492	2351802	eng	mar	The school is only a five-minute walk.	माझी शाळा चालत फक्त पाच मिनिटांवर आहे.	शाळा फक्त पाच मिनिट चालत आहे.
1349544	6166562	eng	mar	This is so delicious. It's like sex in my mouth.	हे किती स्वादिष्ट आहे. जणू काही तोंडात सेक्स असल्यासारखं.	हे खूप स्वादिष्ट आहे. हे माझ्या तोंडात लैंगिक संबंधांसारखे आहे.
1457695	7874665	eng	mar	I talked to her.	मी तिच्याशी बोलले.	मी तिच्याशी बोललो.
2545411	6459710	eng	mar	I'm going to be an uncle.	मी मामा बनणार आहे.	मी काका होणार आहे.
3736196	5218599	eng	mar	There was nothing to eat.	खायला काही नव्हतं.	खायला काहीच नव्हतं.
3151484	4643055	eng	mar	Give me that weapon.	मला ते हत्यार दे.	मला ते शस्त्र द्या.
4890406	6953767	eng	mar	That's what we're doing now.	तेच तर आपण करत आहोत.	आम्ही आता हे करत आहोत.
1912009	2523603	eng	mar	This chicken is overcooked.	ही कोंबडी जास्तच शिजली आहे.	ही कोंबडी ओव्हरक्रूक केली जाते.
4485810	5232474	eng	mar	I live in the nearby city.	मी जवळपासच्या शहरात राहते.	मी जवळच्या शहरात राहतो.
6358577	6894375	eng	mar	Do that later.	ते नंतर करा.	नंतर करा.
2149117	2276795	eng	mar	Have you seen my son?	तुम्ही माझ्या मुलाला बघितलंय का?	तू माझा मुलगा पाहिले आहेस का?
61487	2105080	eng	mar	This is my cousin.	हा माझा चुलत भाऊ आहे.	हे माझे चुलत भाऊ आहे.
4134957	7935165	eng	mar	Don't you like fish?	तुम्हाला मासे आवडत नाहीत का?	तुला मासे आवडत नाहीत?
248234	2087693	eng	mar	We were very tired.	आपण फारच थकलो होतो.	आम्ही खूप थकलो होतो.
2237132	2737629	eng	mar	Tom knows Mary.	टॉमला मेरी माहीत आहे.	टॉमला मेरी माहित आहे.
7961832	7961841	eng	mar	I know her father.	मी तिच्या वडिलांना ओळखतो.	मला तिचे वडील माहित आहेत.
261422	4384982	eng	mar	I went to Kyushu by airplane.	मी क्यूशूला विमानाने गेले.	मी विमानातून किशुसला गेलो.
687786	4545126	eng	mar	Why do you need a new television?	नवीन टीव्हीची तुम्हाला काय गरज आहे?	आपल्याला नवीन टेलिव्हिजनची आवश्यकता का आहे?
1579057	2410388	eng	mar	For whom have you brought the bone?	कोणासाठी तू ती हड्डी आणली आहेस?	आपण हाडे कोणाला आणले आहे?
7795897	8888305	eng	mar	We have already won this battle.	ही लढाई आम्ही आधीच जिंकलो आहोत.	आम्ही यापूर्वीच ही लढाई जिंकली आहे.
5276583	8633913	eng	mar	Pass me that wrench.	मला तो पाना द्या.	मला ती रेंच द्या.
3273738	3304805	eng	mar	Don't forget to call Luc.	लूला फोन करायला विसरू नकोस.	लूकला कॉल करण्यास विसरू नका.
36864	2692574	eng	mar	How long will we have to wait?	आपल्याला किती वेळ थांबायला लागेल?	आम्हाला किती वेळ प्रतीक्षा करावी लागेल?
66319	2459763	eng	mar	Would you join me for a walk?	माझ्याबरोबर फिरायला येतेस का?	तू माझ्याबरोबर फिरायला सामील होशील का?
241076	5708045	eng	mar	Keep on going. You'll see a bank on your left.	जात रहा. डावीकडे एक बँक दिसेल.	चालू ठेवा. आपल्या डावीकडे बँक दिसेल.
1026921	3140300	eng	mar	Tom calls me almost every day.	टॉम मला जवळजवळ दररोज फोन करतो.	टॉम मला जवळजवळ प्रत्येक दिवशी कॉल करतो.
3913961	7182017	eng	mar	Do I know her?	मी तिला ओळखतो का?	मी तिला ओळखतो का?
6276536	9373830	eng	mar	This is Minghui's car.	ही मिंगहुइची गाडी आहे.	ही मिंगूची गाडी आहे.
18535	4711701	eng	mar	Rich as he is, he is not happy.	श्रीमंत असला तरीही तो सुखी नाही.	तो आहे म्हणून श्रीमंत, तो आनंदी नाही.
2547661	5229987	eng	mar	I'm working here now.	आता मी इथे काम करतोय.	मी आता येथे काम करत आहे.
308890	2085645	eng	mar	You stay away from her.	तुम्ही तिच्यापासून दूर राहा.	तू तिच्यापासून दूर राहा.
3700154	4381184	eng	mar	You can fix this.	तू हे दुरुस्त करू शकतेस.	आपण हे निराकरण करू शकता.
1172637	2085288	eng	mar	When are you all going to start with your work?	तुम्ही सर्व आपापलं काम कधी सुरू करणार आहात?	आपण सर्व आपल्या काम सुरू करणार आहात?
799919	2756769	eng	mar	Install Linux!	लिनक्स इंस्टॉल कर!	लिंकू स्थापित करा!
2202579	5051772	eng	mar	I'm artistic.	मी कलात्मक आहे.	मी कलात्मक आहे.
2438	6148491	eng	mar	The film started at 2 o'clock.	पिक्चर २ वाजता सुरू झाला.	हा चित्रपट २ वाजता सुरू झाला.
2673750	7715579	eng	mar	You are my true friend!	तुम्ही माझ्या खर्‍या मैत्रिण आहात!	तू माझा खरा मित्र आहेस!
270304	2104558	eng	mar	All men are equal.	सर्व मनुष्य समान आहेत.	सर्व पुरुष समान आहेत.
530786	2017272	eng	mar	Please bring us two cups of tea and one cup of coffee.	कृपया आमच्यासाठी दोन कप चहा आणि एक कप कॉफी आणा.	कृपया आम्हाला चहा आणि एक कप कॉफी आणा.
2875678	8682064	eng	mar	She looked at the dress.	त्यांनी ड्रेस बघितला.	तिने ड्रेसकडे पाहिले.
3385235	6984771	eng	mar	My friend wants sugar.	माझ्या मित्राला साखर हवी आहे.	माझ्या मित्राला साखर हवी आहे.
2254942	2527138	eng	mar	You can try.	तू प्रयत्न करून बघू शकतोस.	आपण प्रयत्न करू शकता.
320146	3219920	eng	mar	Written in plain English, the book is suitable for beginners.	साध्या-सोप्या इंग्रजीत लिहिलेलं हे पुस्तक नवशिक्यांसाठी योग्य आहे.	स्पष्ट इंग्रजी मध्ये लिहिले, पुस्तक सुरुवातीला योग्य आहे.
1647952	5068182	eng	mar	He can't stop us.	ते आम्हाला थांबवू शकत नाहीत.	तो आम्हाला थांबवू शकत नाही.
5374077	5398645	eng	mar	Tom has caught every Pokémon.	टॉमने प्रत्येक पोकेमॉन पकडला आहे.	टॉमने प्रत्येक पोकळी पकडली आहे.
2425674	3499473	eng	mar	This village belongs to the king of Sweden.	हे गाव स्वीडनच्या राजाच्या मालकीचं आहे.	हे गाव स्वीडनचा राजा आहे.
2974609	3923093	eng	mar	Dublin is the capital of Ireland.	आयर्लंडची राजधानी डब्लिन आहे.	डलिन ही आयर्लंडची राजधानी आहे.
5228933	2086084	eng	mar	False.	चूक.	खोटे.
804059	2533839	eng	mar	The British captured Breed's Hill.	ब्रिटिशांनी ब्रीड्ज हिल ताब्यात घेतला.	ब्रिटीशांनी ब्रेटची हिल पकडली.
7406259	9009344	eng	mar	They're making themselves sandwiches.	ते स्वतःसाठी सँडविच बनवत आहेत.	ते स्वत: ला सँडविच बनवत आहेत.
20124	4512139	eng	mar	You study English.	तू इंग्रजीचा अभ्यास करतेस.	तू इंग्रजीचा अभ्यास करतोस.
3914302	5169303	eng	mar	Keep them out of here.	त्यांना इथून बाहेर ठेवा.	त्यांना येथून बाहेर ठेवा.
3446991	3869070	eng	mar	Tom is swimming in the river.	टॉम नदीत पोहत होता.	टॉम नदीत पोहत आहे.
3416903	6909349	eng	mar	Tom is shameless, isn't he?	टॉम निर्लज्ज आहे, नाही का?	टॉम लज्जास्पद आहे, नाही का?
6360022	8422546	eng	mar	Where did you get this statement from?	हा स्टेटमेंट तुम्हाला कुठून मिळाला?	तुम्हाला हे विधान कोठून मिळाले?
2248643	3949552	eng	mar	Is this mine?	हा माझा आहे का?	हे माझे आहे का?
1798502	2672769	eng	mar	Did you write your name?	तुझं नाव लिहिलंस का?	आपण आपले नाव लिहिले?
26296	2527319	eng	mar	Is English spoken in Canada?	कॅनडात इंग्रजी बोलली जाते का?	इंग्रजी कॅनडामध्ये बोलली जाते का?
496544	5708086	eng	mar	I poured some water in the bucket.	मी बादलीत जरासं पाणी ओतलं.	मी बादलीत काही पाणी ओतले.
4001341	4512019	eng	mar	I'm learning Scottish Gaelic.	मी स्कॉटिश गेलिक शिकतोय.	मी स्कॉट गॅलिक शिकत आहे.
1028542	2769747	eng	mar	Tom is Mary's friend.	टॉम मेरीचा मित्र आहे.	टॉम मेरीचा मित्र आहे.
8013731	8298262	eng	mar	Get the phone, Mennad.	मेन्नाद, फोन आण.	फोन मिळवा, मेनड.
4945656	6923263	eng	mar	I wanted to sell it anyway.	तरीही मला विकायची होती.	मला ते तरीही विकायचे होते.
2013858	2788285	eng	mar	Are you sure you want to quit?	तुम्ही नक्की सोडू इच्छिता का?	आपल्याला खात्री आहे की आपण सोडू इच्छिता?
2483275	5227384	eng	mar	Where did this come from?	ही कुठून आली?	हे कोठून आले?
6645957	9124968	eng	mar	I met Tom online.	टॉमला मी ऑनलाइन भेटलो.	मी टॉम ऑनलाईन भेटलो.
3738066	4050525	eng	mar	Why were you crying?	तू का रडत होतास?	तू का रडत होतास?
586586	2085752	eng	mar	In Soviet Russia, radio listens to the listener!	सोव्हियेत रशियात रेडियो ऐकण्यार्‍याला ऐकतो!	सोव्हिएत रशिया मध्ये, रेडिओ श्रोते ऐकतो!
6900312	7006408	eng	mar	If you like honey, don't be afraid of bees.	मध आवडत असेल तर मधमाश्यांना भिऊ नका.	जर तुम्हाला मध आवडत असेल तर मध घाबरू नका.
3074671	3350350	eng	mar	Rajinikanth is a superstar in India.	रजनीकांत भारतात सुपरस्टार आहे.	रजनीकांत हा भारतात सुपरस्टार आहे.
4828610	6953045	eng	mar	Why don't you tell him yourself?	तू त्याला स्वतः का नाही सांगत?	तू त्याला का सांगत नाहीस?
294760	7099452	eng	mar	He cleared his throat.	त्याने त्याचा घसा साफ केला.	त्याने त्याचा घसा साफ केला.
1879195	2558203	eng	mar	I'm not a bot.	मी बॉट नाहीये.	मी एक टॉप नाही.
64191	6275596	eng	mar	Come and have tea with me.	येऊन माझ्याबरोबर चहा प्या.	चला आणि माझ्याबरोबर चहा घ्या.
3908308	6219778	eng	mar	What did you tell her about us?	तू तिला आमच्याबद्दल काय सांगितलंस?	आपण तिला आमच्याबद्दल काय सांगितले?
9057041	9341220	eng	mar	Who cuts your hair?	तुझे केस कोण कापतं?	आपले केस कोण कापतात?
2360097	2475208	eng	mar	I've never seen you before in my life.	मी आयुष्यात तुम्हाला कधीच बघितलं नाहीये.	मी तुला माझ्या आयुष्यात आधी कधी पाहिले नाही.
31380	7910282	eng	mar	I have to leave now.	मला आता निघायचं आहे.	मला आता निघून जावे लागेल.
3822940	5062436	eng	mar	I never lose.	मी कधीही हरत नाही.	मी कधीही गमावू शकत नाही.
5871059	6157466	eng	mar	Do you speak Hindi?	तू हिंदी बोलतोस का?	तुम्ही हिंदी बोलता का?
272201	5232011	eng	mar	Once upon a time, there lived a great king in Greece.	एकेकाळी ग्रीसमध्ये एक महान राजा राहायचा.	एकदा ग्रीसमध्ये एक महान राजा राहिला.
3305889	3537714	eng	mar	Do you like it? I like it.	ते आवडतं का? मला आवडतं.	तुला हे आवडते का? मला ते आवडते.
2245974	5087535	eng	mar	I made dinner.	मी रात्रीचं जेवण बनवलं.	मी रात्रीचे जेवण केले.
2894785	3220800	eng	mar	No invading army has ever set foot upon Japanese shores.	कोणत्याही आक्रमक फौजाने जपानच्या किनार्‍यांवर पाय टाकला नाही.	जपानच्या किना on्यावर आक्रमण करणार् या सैन्याने कधीही पाऊल ठेवले नाही.
5144447	9120620	eng	mar	My family live in that house.	माझं कुटुंब त्या घरात राहतं.	माझे कुटुंब त्या घरात राहतात.
2254694	2526920	eng	mar	Where's your wife?	तुझी बायको कुठेय?	तुझी पत्नी कोठे आहे?
61487	2087561	eng	mar	This is my cousin.	हा माझा आतेभाऊ आहे.	हे माझे चुलत भाऊ आहे.
743103	2257047	eng	mar	He gets up at seven.	ते सात वाजता उठतात.	तो सात वाजता उठतो.
1761866	3180476	eng	mar	What's Germany's highest mountain?	जर्मनीचा सर्वात उंच पर्वत कोणता आहे?	जर्मनीचा सर्वात उंच डोंगर काय आहे?
4833086	5071493	eng	mar	Whose book is that on the table?	टेबलावर ते कोणाचं पुस्तक आहे?	टेबलवर हे कोणाचे पुस्तक आहे?
3906676	3959734	eng	mar	Don't even talk to her.	तिच्याशी बोलूही नका.	तिच्याशी बोलू नका.
291643	3293746	eng	mar	He lost his position only because he refused to tell a lie.	खोटं बोलायला नकार दिला म्हणूनच तो त्याचं पद गमवून बसला.	त्याने आपली स्थिती गमावली कारण त्याने खोटे बोलण्यास नकार दिला.
1562150	2693418	eng	mar	There is snow on the mountain.	डोंगरावर बर्फ आहे.	डोंगरावर बर्फ आहे.
438599	2558264	eng	mar	This is made in Kazakhstan.	हे कझागस्तानमध्ये बनलेलं आहे.	हे कझाकस्तानमध्ये केले जाते.
472773	7223833	eng	mar	I'm Paul, your roommate.	मी पॉल, तुझा रूममेट.	मी पॉल, तुमचा रूममेट आहे.
2329386	2700235	eng	mar	We found the thing we were looking for.	आम्ही जी गोष्ट शोधत होतो ती आम्हाला सापडली.	आम्हाला शोधत असलेली गोष्ट सापडली.
3123532	3452426	eng	mar	We have a lot in common.	आमच्यात भरपूर साम्य आहे.	आमच्याकडे बरेच साम्य आहे.
4889773	5667295	eng	mar	Who doesn't want to win?	कोणाला जिंकायचं नाहीये?	कोण जिंकू इच्छित नाही?
3913615	6822847	eng	mar	I let him drive my car.	मी त्याला माझी गाडी चालवायला देते.	मी त्याला माझी गाडी चालवू देतो.
1140844	5479134	eng	mar	Tom won't bite you.	टॉम तुम्हाला चावणार नाही.	टॉम तुला चावणार नाही.
7089462	4347392	eng	mar	Tom fell in love with a beautiful girl.	टॉम एका सुंदर मुलीच्या प्रेमात पडला.	टॉम एक सुंदर मुलगी प्रेमात पडला.
275300	5076738	eng	mar	There's no point in waiting.	थांबण्यात काही अर्थ नाहीये.	प्रतीक्षा करण्यात काही अर्थ नाही.
2247801	3924867	eng	mar	I'll read it.	मी वाचेन.	मी ते वाचेन.
6013599	6935100	eng	mar	What is that made of?	ती कशाची बनली आहे?	ते काय बनले आहे?
2278293	2651567	eng	mar	They don't work at night.	ते रात्री काम करत नाहीत.	ते रात्री काम करत नाहीत.
2111523	2653287	eng	mar	Start now.	आता सुरू करा.	आता प्रारंभ करा.
519696	2087748	eng	mar	What is this letter?	हे काय पत्र आहे?	हे पत्र काय आहे?
259791	8371522	eng	mar	I'm standing in the shade.	मी सावलीत उभा आहे.	मी सावलीत उभे आहे.
2543460	7715586	eng	mar	I'm taking Tom home with me.	मी टॉमला माझ्याबरोबर घरी नेतेय.	मी टॉमला माझ्याबरोबर घरी घेऊन जात आहे.
2713643	2437370	eng	mar	I'm shorter than you.	मी तुझ्यापेक्षा बुटका आहे.	मी तुमच्यापेक्षा लहान आहे.
2892440	4219838	eng	mar	Were you thinking about me?	माझा विचार करत होतीस का?	तू माझ्याबद्दल विचार करत होतास का?
