SRC_ID	TGT_ID	SRC_LANG	TGT_LANG	SRC_SENT	TGT_SENT	PRED
1482	7217008	eng	tel	I don't speak Japanese.	నేను జపనీస్ మాట్లాడను	నేను జపనీస్ మాట్లాడను.
16265	7204806	eng	tel	What will you have?	నువ్వు ఏమి తీసుకుంటావ్?	మీకు ఏమి ఉంటుంది?
16935	7207856	eng	tel	Tell me about your daily life.	నీ రోజువారీ జీవితం గురించి చెప్పు	మీ రోజువారీ జీవితం గురించి చెప్పు.
17678	7204876	eng	tel	Not only you but I also was to blame.	నిన్నే కాదు నన్ను కూడా నిందించాల్సి వుంది	మీరు మాత్రమే కాదు నేను కూడా నిందించాల్సి వచ్చింది.
18946	7204204	eng	tel	With her heart pounding, she opened the door.	తన గుండె కొట్టుకుంటూనే ఆమె తలుపు తీసింది	ఆమె గుండె కొట్టుకోవడంతో, ఆమె తలుపు తెరిచింది.
18965	7210858	eng	tel	Are you mad?	కోపమొచ్చిందా ?	మీకు పిచ్చి ఉందా?
20280	7204109	eng	tel	Are you feeling OK?	వొంట్లో ఎలా వుంది	మీరు సరే అనుభూతి చెందుతున్నారా?
22327	7204845	eng	tel	It was apparent that there was no way out.	వేరే దారి లేదని స్పష్టంగా తెలుస్తుంది	బయటకు వెళ్లడానికి మార్గం లేదని స్పష్టం చేశారు.
24729	7204248	eng	tel	We need money to do anything.	ఏం చెయ్యాలన్నా మనకి డబ్బులు కావాలి	ఏదైనా చేయటానికి మాకు డబ్బు అవసరం.
24804	7204881	eng	tel	You have no need to be ashamed.	నువ్వు సిగ్గు పడాల్సిన అవసరం లేదు	మీరు సిగ్గుపడవలసిన అవసరం లేదు.
25247	7207597	eng	tel	Do you have anything further to say?	ఆ పైన ఇంకేమైనా చెప్పేది వుందా ?	మీకు ఇంకా ఏదైనా చెప్పాలా?
26044	7210865	eng	tel	The station is nearby.	స్టేషన్ దగ్గర్లో వుంది	స్టేషన్ సమీపంలో ఉంది.
27269	7204372	eng	tel	Can you tell me where the nearest bus stop is?	దగ్గరలో వున్న బస్ స్టాప్ ఎక్కడో కొంచెం చెప్తావా	సమీప బస్ స్టాప్ ఎక్కడ ఉందో మీరు నాకు చెప్పగలరా?
28129	7233060	eng	tel	Wrong.	తప్పు	తప్పు.
30542	7233061	eng	tel	Definitely!	తప్పకుండా	ఖచ్చితంగా!
